MONTH,DAY_OF_MONTH,FL_DATE,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,DEP_DELAY,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,4,1/4/20,"Chicago, IL",IL,Illinois,"State College, PA",PA,Pennsylvania,12,12,0,,0,0,3,0,12
1,12,1/12/20,"Chicago, IL",IL,Illinois,"State College, PA",PA,Pennsylvania,38,38,0,,0,32,0,0,0
1,23,1/23/20,"Dayton, OH",OH,Ohio,"Chicago, IL",IL,Illinois,40,40,0,,0,0,6,0,40
1,28,1/28/20,"Dayton, OH",OH,Ohio,"Chicago, IL",IL,Illinois,54,54,0,,0,0,11,0,54
1,12,1/12/20,"Chicago, IL",IL,Illinois,"Dayton, OH",OH,Ohio,52,52,0,,0,3,0,0,45
1,23,1/23/20,"Chicago, IL",IL,Illinois,"Dayton, OH",OH,Ohio,31,31,0,,0,31,17,0,0
1,27,1/27/20,"Chicago, IL",IL,Illinois,"Dayton, OH",OH,Ohio,18,18,0,,0,0,9,0,18
1,28,1/28/20,"Chicago, IL",IL,Illinois,"Dayton, OH",OH,Ohio,57,57,0,,0,18,7,0,39
1,5,1/5/20,"New York, NY",NY,New York,"Greensboro/High Point, NC",NC,North Carolina,24,24,0,,0,0,7,0,24
1,6,1/6/20,"New York, NY",NY,New York,"Greensboro/High Point, NC",NC,North Carolina,0,0,0,,0,0,27,0,0
1,6,1/6/20,"Rochester, NY",NY,New York,"Washington, DC",VA,Virginia,25,25,0,,1,0,0,0,21
1,19,1/19/20,"Dayton, OH",OH,Ohio,"Charlotte, NC",NC,North Carolina,8,8,0,,1,0,41,0,7
1,27,1/27/20,"Washington, DC",VA,Virginia,"Dayton, OH",OH,Ohio,39,39,0,,1,0,0,0,27
1,30,1/30/20,"Knoxville, TN",TN,Tennessee,"Washington, DC",VA,Virginia,1,1,0,,1,0,38,0,0
1,11,1/11/20,"Dayton, OH",OH,Ohio,"Charlotte, NC",NC,North Carolina,77,77,0,,1,0,0,0,60
1,5,1/5/20,"Savannah, GA",GA,Georgia,"Philadelphia, PA",PA,Pennsylvania,1,1,0,,1,0,30,0,0
1,13,1/13/20,"Manchester, NH",NH,New Hampshire,"Washington, DC",VA,Virginia,29,29,0,,1,0,4,0,28
1,17,1/17/20,"Sarasota/Bradenton, FL",FL,Florida,"Charlotte, NC",NC,North Carolina,11,11,0,,1,0,13,0,10
1,7,1/7/20,"Hartford, CT",CT,Connecticut,"Orlando, FL",FL,Florida,22,22,0,,2,0,0,0,15
1,7,1/7/20,"Norfolk, VA",VA,Virginia,"Chicago, IL",IL,Illinois,26,26,0,,2,0,0,0,16
1,12,1/12/20,"Dayton, OH",OH,Ohio,"Chicago, IL",IL,Illinois,45,45,0,,2,0,3,0,43
1,23,1/23/20,"Colorado Springs, CO",CO,Colorado,"Dallas/Fort Worth, TX",TX,Texas,50,50,0,,2,0,0,0,23
1,12,1/12/20,"Detroit, MI",MI,Michigan,"Chicago, IL",IL,Illinois,52,52,0,,2,0,0,0,49
1,10,1/10/20,"Newark, NJ",NJ,New Jersey,"Chicago, IL",IL,Illinois,26,26,0,,2,0,0,0,23
1,12,1/12/20,"Fayetteville, AR",AR,Arkansas,"Chicago, IL",IL,Illinois,73,73,0,,2,0,0,0,62
1,30,1/30/20,"Dallas/Fort Worth, TX",TX,Texas,"Fort Smith, AR",AR,Arkansas,45,45,0,,2,0,0,0,26
1,1,1/1/20,"Chicago, IL",IL,Illinois,"Flint, MI",MI,Michigan,89,89,0,,2,0,0,0,70
1,15,1/15/20,"Baton Rouge, LA",LA,Louisiana,"Dallas/Fort Worth, TX",TX,Texas,7,7,0,,2,0,15,0,5
1,2,1/2/20,"Jacksonville, FL",FL,Florida,"Miami, FL",FL,Florida,21,21,0,,2,0,1,0,19
1,3,1/3/20,"Mission/McAllen/Edinburg, TX",TX,Texas,"Dallas/Fort Worth, TX",TX,Texas,29,29,0,,2,0,0,0,26
1,24,1/24/20,"Honolulu, HI",HI,Hawaii,"Kapalua, HI",HI,Hawaii,14,14,0,,2,0,9,0,12
1,9,1/9/20,"Honolulu, HI",HI,Hawaii,"Hoolehua, HI",HI,Hawaii,53,53,0,,2,0,5,0,51
1,2,1/2/20,"Richmond, VA",VA,Virginia,"Charlotte, NC",NC,North Carolina,26,26,0,,2,0,6,0,24
